pr,"	Year", Month, Country, ISO3, ISO2
0.06085,1941,7,QAT,,
0.10187,1941,8,QAT,,
0,1941,9,QAT,,
0.03748,1941,10,QAT,,
0.36249,1941,11,QAT,,
2.65143,1941,12,QAT,,
2.12695,1942,1,QAT,,
44.3931,1942,2,QAT,,
2.36297,1942,3,QAT,,
3.9785,1942,4,QAT,,
0.45068,1942,5,QAT,,
0.17117,1942,6,QAT,,
0.06085,1942,7,QAT,,
0.15127,1942,8,QAT,,
0,1942,9,QAT,,
0.04065,1942,10,QAT,,
0.36756,1942,11,QAT,,
5.96847,1942,12,QAT,,
13.5081,1943,1,QAT,,
8.75734,1943,2,QAT,,
12.1941,1943,3,QAT,,
2.88129,1943,4,QAT,,
0.43786,1943,5,QAT,,
0.17117,1943,6,QAT,,
0.07058,1943,7,QAT,,
0.3477,1943,8,QAT,,
0,1943,9,QAT,,
0.03748,1943,10,QAT,,
0.47644,1943,11,QAT,,
20.9345,1943,12,QAT,,
2.22853,1944,1,QAT,,
2.03358,1944,2,QAT,,
3.32945,1944,3,QAT,,
1.58653,1944,4,QAT,,
0.43097,1944,5,QAT,,
0.17117,1944,6,QAT,,
0.06085,1944,7,QAT,,
0.15127,1944,8,QAT,,
0,1944,9,QAT,,
0.03748,1944,10,QAT,,
12.9425,1944,11,QAT,,
50.2175,1944,12,QAT,,
31.7727,1945,1,QAT,,
3.50786,1945,2,QAT,,
7.25984,1945,3,QAT,,
1.71959,1945,4,QAT,,
0.4098,1945,5,QAT,,
0.17117,1945,6,QAT,,
0.07058,1945,7,QAT,,
0.15315,1945,8,QAT,,
0,1945,9,QAT,,
0.03748,1945,10,QAT,,
0.48857,1945,11,QAT,,
7.22802,1945,12,QAT,,
2.79647,1946,1,QAT,,
2.8466,1946,2,QAT,,
3.03227,1946,3,QAT,,
1.82569,1946,4,QAT,,
0.53527,1946,5,QAT,,
0.17117,1946,6,QAT,,
0.06401,1946,7,QAT,,
0.15315,1946,8,QAT,,
0,1946,9,QAT,,
0.04065,1946,10,QAT,,
0.48814,1946,11,QAT,,
1.79548,1946,12,QAT,,
13.6235,1947,1,QAT,,
10.1073,1947,2,QAT,,
11.8935,1947,3,QAT,,
1.81568,1947,4,QAT,,
13.8007,1947,5,QAT,,
0.17117,1947,6,QAT,,
0.06401,1947,7,QAT,,
0.15315,1947,8,QAT,,
0,1947,9,QAT,,
0.04065,1947,10,QAT,,
1.71158,1947,11,QAT,,
38.0584,1947,12,QAT,,
3.45042,1948,1,QAT,,
20.6644,1948,2,QAT,,
30.8788,1948,3,QAT,,
19.8876,1948,4,QAT,,
0.53527,1948,5,QAT,,
0.17117,1948,6,QAT,,
0.06401,1948,7,QAT,,
0.2036,1948,8,QAT,,
0,1948,9,QAT,,
0.04065,1948,10,QAT,,
0.33804,1948,11,QAT,,
19.3413,1948,12,QAT,,
5.95784,1949,1,QAT,,
8.94896,1949,2,QAT,,
11.1136,1949,3,QAT,,
1.89678,1949,4,QAT,,
1.58093,1949,5,QAT,,
0.17117,1949,6,QAT,,
0.06401,1949,7,QAT,,
0.15315,1949,8,QAT,,
0,1949,9,QAT,,
0.04065,1949,10,QAT,,
8.95827,1949,11,QAT,,
52.7192,1949,12,QAT,,
3.12261,1950,1,QAT,,
2.36822,1950,2,QAT,,
19.0583,1950,3,QAT,,
1.85729,1950,4,QAT,,
0.95057,1950,5,QAT,,
0.17117,1950,6,QAT,,
0.07374,1950,7,QAT,,
0.15315,1950,8,QAT,,
0,1950,9,QAT,,
0.04065,1950,10,QAT,,
0.46036,1950,11,QAT,,
1.35985,1950,12,QAT,,
4.18069,1951,1,QAT,,
12.7816,1951,2,QAT,,
20.1873,1951,3,QAT,,
2.14905,1951,4,QAT,,
0.51669,1951,5,QAT,,
0.17117,1951,6,QAT,,
0.06401,1951,7,QAT,,
0.15127,1951,8,QAT,,
0,1951,9,QAT,,
0.04065,1951,10,QAT,,
0.36625,1951,11,QAT,,
24.2629,1951,12,QAT,,
8.44107,1952,1,QAT,,
2.2814,1952,2,QAT,,
2.66293,1952,3,QAT,,
8.47824,1952,4,QAT,,
4.03051,1952,5,QAT,,
0.17117,1952,6,QAT,,
0.06085,1952,7,QAT,,
0.10187,1952,8,QAT,,
0,1952,9,QAT,,
0.04065,1952,10,QAT,,
0.48819,1952,11,QAT,,
9.14674,1952,12,QAT,,
3.25312,1953,1,QAT,,
7.85189,1953,2,QAT,,
8.09424,1953,3,QAT,,
1.81332,1953,4,QAT,,
1.7613,1953,5,QAT,,
0.17117,1953,6,QAT,,
0.06085,1953,7,QAT,,
0.10187,1953,8,QAT,,
0,1953,9,QAT,,
0.04065,1953,10,QAT,,
0.38654,1953,11,QAT,,
15.8496,1953,12,QAT,,
2.6262,1954,1,QAT,,
64.7001,1954,2,QAT,,
6.51706,1954,3,QAT,,
1.85208,1954,4,QAT,,
0.51669,1954,5,QAT,,
0.17117,1954,6,QAT,,
0.06085,1954,7,QAT,,
0.10187,1954,8,QAT,,
0,1954,9,QAT,,
0.04065,1954,10,QAT,,
15.5608,1954,11,QAT,,
2.37223,1954,12,QAT,,
53.4135,1955,1,QAT,,
2.29916,1955,2,QAT,,
42.2118,1955,3,QAT,,
2.27422,1955,4,QAT,,
5.29554,1955,5,QAT,,
0.17117,1955,6,QAT,,
0.06085,1955,7,QAT,,
0.10187,1955,8,QAT,,
0,1955,9,QAT,,
0.04065,1955,10,QAT,,
0.36625,1955,11,QAT,,
52.907,1955,12,QAT,,
15.2872,1956,1,QAT,,
2.49656,1956,2,QAT,,
8.85413,1956,3,QAT,,
1.79825,1956,4,QAT,,
0.4098,1956,5,QAT,,
0.14983,1956,6,QAT,,
0.07058,1956,7,QAT,,
0.10187,1956,8,QAT,,
0,1956,9,QAT,,
0.04065,1956,10,QAT,,
0.36625,1956,11,QAT,,
6.63939,1956,12,QAT,,
29.0613,1957,1,QAT,,
16.0177,1957,2,QAT,,
