,year,country_code,reported_cases,region_x,reported_deaths,region_y,population,tx_resistance,tx_resistance_int,number_nets,point_prevalence
132,2008,YEM,44206.0,EMR,,,22356391.0,Not tested/reported,0.0,0.0,0.001977331672182688
133,2012,LAO,46202.0,WPR,44.0,WPR,6415169.0,Not tested/reported,0.0,0.0,0.007201992652103164
134,2004,STP,46486.0,AFR,169.0,AFR,151969.0,Not tested/reported,0.0,0.0,0.3058913331008298
135,2010,KHM,49356.0,WPR,151.0,WPR,14308740.0,Not tested/reported,0.0,0.0,0.0034493603210345564
136,2009,HTI,49535.0,AMR,7.0,AMR,9852870.0,Not tested/reported,0.0,0.0,0.005027469153657767
137,2003,ECU,52065.0,AMR,46.0,AMR,13289601.0,Not tested/reported,0.0,0.0,0.003917724843657835
138,2007,TLS,52813.0,SEAR,60.0,SEAR,1064973.0,Not tested/reported,0.0,0.0,0.04959092859631183
139,2000,BGD,55599.0,SEAR,484.0,SEAR,131581243.0,Yes,1.0,0.0,0.0004225450279414065
140,2000,BGD,55599.0,SEAR,484.0,SEAR,131581243.0,Not tested/reported,0.0,0.0,0.0004225450279414065
141,2000,BGD,55599.0,SEAR,484.0,SEAR,131581243.0,No,0.0,0.0,0.0004225450279414065
142,2005,NER,56043.0,AFR,2060.0,AFR,13618449.0,Not tested/reported,0.0,0.0,0.00411522633744856
143,2011,KHM,57423.0,WPR,94.0,WPR,14537886.0,Not tested/reported,0.0,0.0,0.003949886524079223
144,2011,COL,64309.0,AMR,23.0,AMR,46406646.0,No,0.0,0.0,0.0013857713397343993
145,2011,COL,64309.0,AMR,23.0,AMR,46406646.0,Not tested/reported,0.0,0.0,0.0013857713397343993
146,2014,PER,64676.0,AMR,4.0,AMR,30973354.0, Not tested/reported,0.0,0.0,0.002088117418604391
147,2011,GNB,71982.0,AFR,472.0,AFR,1596154.0,Not tested/reported,0.0,0.0,0.04509715227979255
148,2000,VNM,74316.0,WPR,142.0,WPR,77630900.0,Not tested/reported,0.0,0.0,0.0009572992197694474
149,2000,PNG,79839.0,WPR,617.0,WPR,5572222.0,Not tested/reported,0.0,0.0,0.014328036463730268
150,2008,AFG,81574.0,EMR,46.0,EMR,27294031.0,Not tested/reported,0.0,0.0,0.002988712074079494
151,2004,PNG,91055.0,WPR,619.0,WPR,6161517.0,Not tested/reported,0.0,0.0,0.014778016517685498
152,2003,SLB,92227.0,WPR,71.0,WPR,446769.0,Not tested/reported,0.0,0.0,0.20643106392789115
153,2007,COG,103213.0,AFR,113.0,AFR,3976246.0,Not tested/reported,0.0,10000.0,0.02595739800807093
154,2000,ECU,104528.0,AMR,66.0,AMR,12628596.0,Not tested/reported,0.0,0.0,0.008277087967656896
155,2000,MMR,120083.0,SEAR,2556.0,SEAR,46095462.0,Not tested/reported,0.0,0.0,0.0026050937508772555
156,2008,MOZ,120259.0,AFR,4424.0,AFR,22846758.0,No,0.0,0.0,0.005263722756637944
157,2008,MOZ,120259.0,AFR,4424.0,AFR,22846758.0,Not tested/reported,0.0,0.0,0.005263722756637944
158,2001,PRK,143674.0,SEAR,,,23131810.0,Not tested/reported,0.0,0.0,0.00621110064452371
159,2012,PNG,150195.0,WPR,381.0,WPR,7430836.0,Not tested/reported,0.0,0.0,0.020212396021120637
160,2014,MMR,152195.0,SEAR,92.0,SEAR,51924182.0,Yes,1.0,0.0,0.0029311005804578683
161,2014,MMR,152195.0,SEAR,92.0,SEAR,51924182.0, Not tested/reported,0.0,0.0,0.0029311005804578683
162,2014,MMR,152195.0,SEAR,92.0,SEAR,51924182.0,No,0.0,0.0,0.0029311005804578683
163,2010,TCD,200448.0,AFR,886.0,AFR,11887202.0,Not tested/reported,0.0,0.0,0.016862504734082923
164,2006,MMR,203071.0,SEAR,1647.0,SEAR,48846474.0,Not tested/reported,0.0,0.0,0.0041573318065905845
165,2013,GMB,240792.0,AFR,262.0,AFR,1859324.0,Not tested/reported,0.0,0.0,0.12950513197269545
166,2004,AFG,242022.0,EMR,,,24118979.0,Not tested/reported,0.0,0.0,0.010034504362726133
167,2012,ZWE,276963.0,AFR,351.0,AFR,14710826.0,No,0.0,0.0,0.018827154912987212
168,2013,PNG,279994.0,WPR,307.0,WPR,7592865.0,Not tested/reported,0.0,0.0,0.03687593549997267
169,2005,IDN,315394.0,SEAR,88.0,SEAR,226712730.0,Not tested/reported,0.0,0.0,0.001391161405008003
170,2008,RWA,316242.0,AFR,566.0,AFR,9708169.0,Not tested/reported,0.0,0.0,0.032574834657287076
171,2012,MDG,359420.0,AFR,552.0,AFR,22346573.0,Yes,1.0,0.0,0.016083897965025778
172,2012,MDG,359420.0,AFR,552.0,AFR,22346573.0,No,0.0,0.0,0.016083897965025778
173,2004,BDI,363395.0,AFR,689.0,AFR,7182451.0,Not tested/reported,0.0,0.0,0.05059484568707813
174,2013,ZWE,422633.0,AFR,352.0,AFR,15054506.0,Yes,1.0,0.0,0.028073521641958893
175,2013,ZWE,422633.0,AFR,352.0,AFR,15054506.0,No,0.0,0.0,0.028073521641958893
176,2001,RWA,423493.0,AFR,4275.0,AFR,8329406.0,Not tested/reported,0.0,0.0,0.05084312134622805
177,2006,GHA,472255.0,AFR,3125.0,AFR,22113425.0,Yes,1.0,0.0,0.021356031460526805
178,2006,GHA,472255.0,AFR,3125.0,AFR,22113425.0,No,0.0,0.0,0.021356031460526805
179,2007,GHA,476484.0,AFR,4622.0,AFR,22700212.0,Yes,1.0,5200.0,0.020990288548847033
180,2007,GHA,476484.0,AFR,4622.0,AFR,22700212.0,Yes,1.0,10000.0,0.020990288548847033
181,2007,GHA,476484.0,AFR,4622.0,AFR,22700212.0,No,0.0,5200.0,0.020990288548847033
182,2007,GHA,476484.0,AFR,4622.0,AFR,22700212.0,No,0.0,10000.0,0.020990288548847033
183,2012,MMR,480586.0,SEAR,403.0,SEAR,50986514.0,Not tested/reported,0.0,0.0,0.009425747365273884
184,2012,MMR,480586.0,SEAR,403.0,SEAR,50986514.0,No,0.0,0.0,0.009425747365273884
185,2003,RWA,553150.0,AFR,2679.0,AFR,8680346.0,Not tested/reported,0.0,0.0,0.06372441835843871
186,2008,SDN,569296.0,EMR,1125.0,EMR,32955496.0,Not tested/reported,0.0,0.0,0.017274690691956206
187,2008,SDN,569296.0,EMR,1125.0,EMR,32955496.0,Yes,1.0,0.0,0.017274690691956206
188,2014,GIN,660207.0,AFR,1067.0,AFR,11805509.0,Yes,1.0,0.0,0.055923637007095586
189,2014,GIN,660207.0,AFR,1067.0,AFR,11805509.0, Not tested/reported,0.0,0.0,0.055923637007095586
190,2005,RWA,683769.0,AFR,2581.0,AFR,8991735.0,Not tested/reported,0.0,0.0,0.07604416722690337
191,2010,BFA,804539.0,AFR,9024.0,AFR,15605217.0,Yes,1.0,0.0,0.051555771380814505
192,2008,KEN,839903.0,AFR,,,39148416.0,Not tested/reported,0.0,0.0,0.021454329084476878
193,2010,LBR,922173.0,AFR,1422.0,AFR,3948125.0,Yes,1.0,0.0,0.233572391958208
194,2010,LBR,922173.0,AFR,1422.0,AFR,3948125.0,Not tested/reported,0.0,0.0,0.233572391958208
195,2010,LBR,922173.0,AFR,1422.0,AFR,3948125.0,No,0.0,0.0,0.233572391958208
196,2010,SLE,934028.0,AFR,8188.0,AFR,6458720.0,No,0.0,10560.0,0.14461503208065996
197,2014,IND,1102205.0,SEAR,561.0,SEAR,1293859294.0,Yes,1.0,0.0,0.0008518739287272144
198,2014,IND,1102205.0,SEAR,561.0,SEAR,1293859294.0, Not tested/reported,0.0,0.0,0.0008518739287272144
199,2005,UGA,1104310.0,AFR,,,28543940.0,Yes,1.0,0.0,0.03868807179387289
200,2005,UGA,1104310.0,AFR,,,28543940.0,Not tested/reported,0.0,0.0,0.03868807179387289
201,2012,LBR,1407455.0,AFR,1725.0,AFR,4181563.0,Yes,1.0,0.0,0.3365858651418142
202,2012,LBR,1407455.0,AFR,1725.0,AFR,4181563.0,Not tested/reported,0.0,0.0,0.3365858651418142
203,2012,LBR,1407455.0,AFR,1725.0,AFR,4181563.0,No,0.0,0.0,0.3365858651418142
204,2011,ETH,1480306.0,AFR,936.0,AFR,90046756.0,Yes,1.0,0.0,0.016439304043334997
205,2010,UGA,1581160.0,AFR,8431.0,AFR,33915133.0,Not tested/reported,0.0,450.0,0.046621076202177945
206,2010,UGA,1581160.0,AFR,8431.0,AFR,33915133.0,Not tested/reported,0.0,250.0,0.046621076202177945
207,2010,UGA,1581160.0,AFR,8431.0,AFR,33915133.0,Not tested/reported,0.0,1800.0,0.046621076202177945
208,2014,RWA,1610812.0,AFR,496.0,AFR,11345357.0, Not tested/reported,0.0,0.0,0.1419798425029728
209,2014,RWA,1610812.0,AFR,496.0,AFR,11345357.0,No,0.0,0.0,0.1419798425029728
210,2014,RWA,1610812.0,AFR,496.0,AFR,11345357.0,Yes,1.0,0.0,0.1419798425029728
211,2011,AGO,1632282.0,AFR,6909.0,AFR,24218565.0,Not tested/reported,0.0,0.0,0.06739796515606931
212,2011,AGO,1632282.0,AFR,6909.0,AFR,24218565.0,Yes,1.0,0.0,0.06739796515606931
213,2011,AGO,1632282.0,AFR,6909.0,AFR,24218565.0,No,0.0,0.0,0.06739796515606931
214,2009,COD,1878705.0,AFR,21168.0,AFR,62409435.0,Yes,1.0,0.0,0.030102900306660362
215,2009,COD,1878705.0,AFR,21168.0,AFR,62409435.0,Not tested/reported,0.0,0.0,0.030102900306660362
216,2011,LBR,1915762.0,AFR,,,4070167.0,Yes,1.0,0.0,0.470683881029943
217,2011,LBR,1915762.0,AFR,,,4070167.0,Not tested/reported,0.0,0.0,0.470683881029943
218,2011,LBR,1915762.0,AFR,,,4070167.0,No,0.0,0.0,0.470683881029943
219,2013,NER,2353422.0,AFR,2209.0,AFR,18426372.0,Yes,1.0,0.0,0.12772031303829098
220,2013,NER,2353422.0,AFR,2209.0,AFR,18426372.0,No,0.0,0.0,0.12772031303829098
221,2004,TZA,2502382.0,AFR,19859.0,AFR,38249984.0,No,0.0,0.0,0.06542177899995984
222,2004,TZA,2502382.0,AFR,19859.0,AFR,38249984.0,Not tested/reported,0.0,0.0,0.06542177899995984
223,2013,BDI,4141387.0,AFR,3411.0,AFR,9600186.0,Not tested/reported,0.0,0.0,0.4313861210605711
224,2014,BDI,4585273.0,AFR,2974.0,AFR,9891790.0, Not tested/reported,0.0,0.0,0.46354330207171807
225,2014,BDI,4585273.0,AFR,2974.0,AFR,9891790.0,Yes,1.0,0.0,0.46354330207171807
226,2012,ARG,0.0,AMR,0.0,AMR,42096739.0,Not tested/reported,0.0,0.0,0.0
227,2013,CRI,0.0,AMR,0.0,AMR,4706401.0,Not tested/reported,0.0,0.0,0.0
228,2009,EGY,0.0,EMR,2.0,EMR,82465022.0,,0.0,0.0,0.0
229,2010,EGY,0.0,EMR,2.0,EMR,84107606.0,,0.0,0.0,0.0
230,2014,OMN,0.0,EMR,0.0,EMR,3960925.0,,0.0,0.0,0.0
231,2005,SYR,0.0,EMR,2.0,EMR,18294611.0,,0.0,0.0,0.0
232,2010,ARM,0.0,EUR,0.0,EUR,2877311.0,,0.0,0.0,0.0
233,2010,GEO,0.0,EUR,0.0,EUR,3926000.0,,0.0,0.0,0.0
234,2010,TUR,0.0,EUR,0.0,EUR,72326914.0,Not tested/reported,0.0,0.0,0.0
235,2011,TUR,0.0,EUR,4.0,EUR,73409455.0,Not tested/reported,0.0,0.0,0.0
236,2010,DZA,1.0,AFR,5.0,AFR,36117637.0,Not tested/reported,0.0,0.0,2.7687304127897405e-08
237,2011,DZA,1.0,AFR,1.0,AFR,36819558.0,Not tested/reported,0.0,0.0,2.7159478666202347e-08
238,2008,IRQ,2.0,EMR,0.0,EMR,29111417.0,,0.0,0.0,6.870156818543048e-08
239,2014,TJK,2.0,EUR,0.0,EUR,8362745.0, Not tested/reported,0.0,0.0,2.3915592308506356e-07
240,2003,DZA,6.0,AFR,,,32403514.0,Not tested/reported,0.0,0.0,1.851651027724956e-07
241,2007,BHS,6.0,AMR,0.0,AMR,342328.0,,0.0,0.0,1.752705008062443e-05
242,2001,DZA,8.0,AFR,1.0,AFR,31592153.0,Not tested/reported,0.0,0.0,2.532274391048942e-07
243,2002,DZA,8.0,AFR,,,31995046.0,Not tested/reported,0.0,0.0,2.5003870911765527e-07
244,2007,CPV,18.0,AFR,2.0,AFR,486438.0,Not tested/reported,0.0,0.0,3.7003688034240744e-05
245,2012,TJK,18.0,EUR,0.0,EUR,7995062.0,Not tested/reported,0.0,0.0,2.251389670273977e-06
246,2012,TJK,18.0,EUR,0.0,EUR,7995062.0,No,0.0,0.0,2.251389670273977e-06
247,2007,GEO,24.0,EUR,0.0,EUR,4082000.0,,0.0,0.0,5.8794708476237136e-06
248,2000,TKM,24.0,EUR,0.0,EUR,4516131.0,,0.0,0.0,5.314283398776519e-06
249,2004,CPV,45.0,AFR,4.0,AFR,467664.0,Not tested/reported,0.0,0.0,9.622292928256185e-05
250,2010,CPV,47.0,AFR,1.0,AFR,502384.0,Not tested/reported,0.0,0.0,9.355393483868913e-05
251,2009,CPV,65.0,AFR,2.0,AFR,496963.0,Not tested/reported,0.0,0.0,0.00013079444546173458
252,2005,COG,67.0,AFR,,,3718243.0,Not tested/reported,0.0,0.0,1.8019263399406654e-05
253,2005,CIV,67.0,AFR,,,18336303.0,Not tested/reported,0.0,0.0,3.653953580500933e-06
254,2001,ARM,79.0,EUR,0.0,EUR,3050655.0,,0.0,0.0,2.5896078055368437e-05
255,2006,CPV,80.0,AFR,8.0,AFR,480795.0,Not tested/reported,0.0,0.0,0.00016639108143803492
256,2004,SLV,112.0,AMR,0.0,AMR,6000775.0,Not tested/reported,0.0,0.0,1.8664255866950517e-05
257,2004,ARG,115.0,AMR,0.0,AMR,38728696.0,Not tested/reported,0.0,0.0,2.969374440079263e-06
258,2010,BLZ,150.0,AMR,0.0,AMR,321608.0,Not tested/reported,0.0,0.0,0.00046640630830078854
259,2005,GEO,155.0,EUR,0.0,EUR,4190000.0,,0.0,0.0,3.6992840095465396e-05
260,2009,TJK,164.0,EUR,0.0,EUR,7472819.0,Not tested/reported,0.0,0.0,2.194620263116235e-05
261,2006,ARG,212.0,AMR,0.0,AMR,39558890.0,Not tested/reported,0.0,0.0,5.359098801811679e-06
262,2001,ARG,215.0,AMR,0.0,AMR,37471509.0,Not tested/reported,0.0,0.0,5.7376926026651345e-06
263,2004,SAU,308.0,EMR,0.0,EMR,23228890.0,Not tested/reported,0.0,0.0,1.3259350748141646e-05
264,2007,TUR,313.0,EUR,1.0,EUR,69597281.0,Yes,1.0,0.0,4.497302128800118e-06
265,2007,TUR,313.0,EUR,1.0,EUR,69597281.0,No,0.0,0.0,4.497302128800118e-06
266,2007,TUR,313.0,EUR,1.0,EUR,69597281.0,Not tested/reported,0.0,0.0,4.497302128800118e-06
