tas,"	Year", Month, Country
25.7956,1942,9,BLZ
24.8462,1942,10,BLZ
22.9403,1942,11,BLZ
22.7723,1942,12,BLZ
22.1128,1943,1,BLZ
21.1892,1943,2,BLZ
23.2462,1943,3,BLZ
24.7243,1943,4,BLZ
26.0524,1943,5,BLZ
26.0814,1943,6,BLZ
25.9533,1943,7,BLZ
26.104,1943,8,BLZ
26.1577,1943,9,BLZ
24.3123,1943,10,BLZ
21.8106,1943,11,BLZ
21.4828,1943,12,BLZ
20.8632,1944,1,BLZ
23.186,1944,2,BLZ
24.7305,1944,3,BLZ
25.9778,1944,4,BLZ
26.2534,1944,5,BLZ
26.2983,1944,6,BLZ
26.4027,1944,7,BLZ
26.5668,1944,8,BLZ
26.1466,1944,9,BLZ
24.0211,1944,10,BLZ
22.8454,1944,11,BLZ
21.1444,1944,12,BLZ
22.1231,1945,1,BLZ
23.9538,1945,2,BLZ
25.2369,1945,3,BLZ
26.3546,1945,4,BLZ
26.5169,1945,5,BLZ
26.4879,1945,6,BLZ
26.7006,1945,7,BLZ
26.1368,1945,8,BLZ
25.8911,1945,9,BLZ
25.4766,1945,10,BLZ
22.8358,1945,11,BLZ
22.767,1945,12,BLZ
23.5692,1946,1,BLZ
23.8113,1946,2,BLZ
23.9904,1946,3,BLZ
25.8394,1946,4,BLZ
27.227,1946,5,BLZ
26.6098,1946,6,BLZ
25.7642,1946,7,BLZ
26.3146,1946,8,BLZ
26.3391,1946,9,BLZ
25.2019,1946,10,BLZ
24.6231,1946,11,BLZ
22.5304,1946,12,BLZ
23.8316,1947,1,BLZ
22.3308,1947,2,BLZ
24.4571,1947,3,BLZ
26.903,1947,4,BLZ
26.5134,1947,5,BLZ
26.7161,1947,6,BLZ
26.5035,1947,7,BLZ
26.4645,1947,8,BLZ
26.7367,1947,9,BLZ
26.3968,1947,10,BLZ
25.3068,1947,11,BLZ
23.0789,1947,12,BLZ
22.661,1948,1,BLZ
23.2181,1948,2,BLZ
24.2368,1948,3,BLZ
25.3212,1948,4,BLZ
26.3996,1948,5,BLZ
26.5673,1948,6,BLZ
26.1255,1948,7,BLZ
26.9731,1948,8,BLZ
26.4953,1948,9,BLZ
25.4623,1948,10,BLZ
24.0363,1948,11,BLZ
22.1436,1948,12,BLZ
22.8153,1949,1,BLZ
21.3526,1949,2,BLZ
24.7611,1949,3,BLZ
26.4743,1949,4,BLZ
26.3641,1949,5,BLZ
27.1007,1949,6,BLZ
26.7887,1949,7,BLZ
26.7758,1949,8,BLZ
26.3412,1949,9,BLZ
25.5595,1949,10,BLZ
21.3131,1949,11,BLZ
21.3447,1949,12,BLZ
22.0288,1950,1,BLZ
22.0969,1950,2,BLZ
22.9962,1950,3,BLZ
24.4366,1950,4,BLZ
26.1013,1950,5,BLZ
26.1558,1950,6,BLZ
25.9177,1950,7,BLZ
25.7781,1950,8,BLZ
25.8979,1950,9,BLZ
25.621,1950,10,BLZ
22.4495,1950,11,BLZ
21.2301,1950,12,BLZ
22.0841,1951,1,BLZ
22.0775,1951,2,BLZ
24.0216,1951,3,BLZ
26.0706,1951,4,BLZ
26.1073,1951,5,BLZ
27.4905,1951,6,BLZ
26.5098,1951,7,BLZ
27.2497,1951,8,BLZ
27.0767,1951,9,BLZ
25.9984,1951,10,BLZ
23.511,1951,11,BLZ
23.6578,1951,12,BLZ
23.0529,1952,1,BLZ
22.9208,1952,2,BLZ
26.2102,1952,3,BLZ
25.6906,1952,4,BLZ
26.4414,1952,5,BLZ
27.2593,1952,6,BLZ
25.8997,1952,7,BLZ
26.2353,1952,8,BLZ
27.2857,1952,9,BLZ
24.4348,1952,10,BLZ
23.8784,1952,11,BLZ
22.7195,1952,12,BLZ
22.1215,1953,1,BLZ
24.0706,1953,2,BLZ
25.5559,1953,3,BLZ
27.6945,1953,4,BLZ
27.177,1953,5,BLZ
28.0558,1953,6,BLZ
27.0298,1953,7,BLZ
27.5252,1953,8,BLZ
27.3252,1953,9,BLZ
25.5351,1953,10,BLZ
23.712,1953,11,BLZ
23.1237,1953,12,BLZ
23.0486,1954,1,BLZ
22.5003,1954,2,BLZ
24.84,1954,3,BLZ
25.9284,1954,4,BLZ
26.6826,1954,5,BLZ
26.7586,1954,6,BLZ
26.5403,1954,7,BLZ
26.9542,1954,8,BLZ
26.594,1954,9,BLZ
25.1751,1954,10,BLZ
22.9984,1954,11,BLZ
21.7741,1954,12,BLZ
22.2088,1955,1,BLZ
22.541,1955,2,BLZ
24.6583,1955,3,BLZ
26.2111,1955,4,BLZ
26.8599,1955,5,BLZ
27.3675,1955,6,BLZ
26.1433,1955,7,BLZ
27.1836,1955,8,BLZ
27.1004,1955,9,BLZ
25.2281,1955,10,BLZ
24.0307,1955,11,BLZ
22.8071,1955,12,BLZ
21.1959,1956,1,BLZ
23.7905,1956,2,BLZ
23.983,1956,3,BLZ
26.0734,1956,4,BLZ
26.4509,1956,5,BLZ
25.6787,1956,6,BLZ
26.172,1956,7,BLZ
26.8706,1956,8,BLZ
26.2621,1956,9,BLZ
25.6317,1956,10,BLZ
22.4988,1956,11,BLZ
22.7753,1956,12,BLZ
23.0871,1957,1,BLZ
23.7588,1957,2,BLZ
24.8225,1957,3,BLZ
26.4954,1957,4,BLZ
27.4721,1957,5,BLZ
27.5707,1957,6,BLZ
26.8669,1957,7,BLZ
27.3769,1957,8,BLZ
27.0093,1957,9,BLZ
25.2837,1957,10,BLZ
24.7235,1957,11,BLZ
22.067,1957,12,BLZ
21.3897,1958,1,BLZ
22.6997,1958,2,BLZ
25.5727,1958,3,BLZ
27.3533,1958,4,BLZ
27.0834,1958,5,BLZ
27.6525,1958,6,BLZ
26.6014,1958,7,BLZ
27.9044,1958,8,BLZ
27.5943,1958,9,BLZ
26.6554,1958,10,BLZ
25.7303,1958,11,BLZ
23.8189,1958,12,BLZ
23.165,1959,1,BLZ
25.0786,1959,2,BLZ
25.0226,1959,3,BLZ
26.3795,1959,4,BLZ
27.0862,1959,5,BLZ
27.5799,1959,6,BLZ
26.9807,1959,7,BLZ
27.2884,1959,8,BLZ
27.731,1959,9,BLZ
26.6235,1959,10,BLZ
23.6851,1959,11,BLZ
22.5927,1959,12,BLZ
22.857,1960,1,BLZ
23.0204,1960,2,BLZ
24.4031,1960,3,BLZ
26.4165,1960,4,BLZ
27.8204,1960,5,BLZ
26.4266,1960,6,BLZ
26.2997,1960,7,BLZ
26.6324,1960,8,BLZ
27.3104,1960,9,BLZ
26.9214,1960,10,BLZ
23.7648,1960,11,BLZ
22.0587,1960,12,BLZ
22.2224,1961,1,BLZ
23.1358,1961,2,BLZ
25.6566,1961,3,BLZ
26.3595,1961,4,BLZ
27.1356,1961,5,BLZ
26.6603,1961,6,BLZ
25.9765,1961,7,BLZ
26.7477,1961,8,BLZ
26.5747,1961,9,BLZ
24.8634,1961,10,BLZ
23.4055,1961,11,BLZ
23.0236,1961,12,BLZ
21.8268,1962,1,BLZ
22.5875,1962,2,BLZ
24.5293,1962,3,BLZ
25.8448,1962,4,BLZ
25.6274,1962,5,BLZ
26.6229,1962,6,BLZ
26.39,1962,7,BLZ
26.4622,1962,8,BLZ
26.3926,1962,9,BLZ
25.7571,1962,10,BLZ
22.6975,1962,11,BLZ
21.7742,1962,12,BLZ
22.4123,1963,1,BLZ
23.0225,1963,2,BLZ
24.7284,1963,3,BLZ
25.2192,1963,4,BLZ
26.2828,1963,5,BLZ
27.6459,1963,6,BLZ
26.8298,1963,7,BLZ
26.5632,1963,8,BLZ
26.4951,1963,9,BLZ
24.9465,1963,10,BLZ
23.6832,1963,11,BLZ
21.256,1963,12,BLZ
21.8773,1964,1,BLZ
23.4856,1964,2,BLZ
25.8135,1964,3,BLZ
27.1124,1964,4,BLZ
27.0524,1964,5,BLZ
25.857,1964,6,BLZ
25.9701,1964,7,BLZ
26.5782,1964,8,BLZ
26.2734,1964,9,BLZ
24.5006,1964,10,BLZ
23.411,1964,11,BLZ
22.4455,1964,12,BLZ
21.5867,1965,1,BLZ
23.3547,1965,2,BLZ
23.8897,1965,3,BLZ
24.6504,1965,4,BLZ
26.3428,1965,5,BLZ
26.2186,1965,6,BLZ
26.0588,1965,7,BLZ
26.1482,1965,8,BLZ
26.212,1965,9,BLZ
25.4623,1965,10,BLZ
23.4557,1965,11,BLZ
22.7965,1965,12,BLZ
21.6442,1966,1,BLZ
22.5488,1966,2,BLZ
23.3181,1966,3,BLZ
26.2002,1966,4,BLZ
26.7004,1966,5,BLZ
26.2273,1966,6,BLZ
26.0929,1966,7,BLZ
26.5738,1966,8,BLZ
26.2108,1966,9,BLZ
25.1597,1966,10,BLZ
21.4386,1966,11,BLZ
20.8669,1966,12,BLZ
21.5423,1967,1,BLZ
22.0603,1967,2,BLZ
23.741,1967,3,BLZ
25.2243,1967,4,BLZ
26.4689,1967,5,BLZ
26.6968,1967,6,BLZ
26.0547,1967,7,BLZ
26.5874,1967,8,BLZ
26.356,1967,9,BLZ
25.0249,1967,10,BLZ
22.8124,1967,11,BLZ
23.0743,1967,12,BLZ
21.8657,1968,1,BLZ
21.3058,1968,2,BLZ
22.7449,1968,3,BLZ
25.7492,1968,4,BLZ
26.5207,1968,5,BLZ
26.958,1968,6,BLZ
26.3878,1968,7,BLZ
26.8396,1968,8,BLZ
26.2651,1968,9,BLZ
25.1471,1968,10,BLZ
22.9105,1968,11,BLZ
22.3845,1968,12,BLZ
22.4697,1969,1,BLZ
23.573,1969,2,BLZ
24.5104,1969,3,BLZ
26.9019,1969,4,BLZ
27.4042,1969,5,BLZ
27.3363,1969,6,BLZ
26.9599,1969,7,BLZ
26.5013,1969,8,BLZ
26.8986,1969,9,BLZ
26.0679,1969,10,BLZ
23.253,1969,11,BLZ
22.6774,1969,12,BLZ
21.9951,1970,1,BLZ
22.1016,1970,2,BLZ
24.8693,1970,3,BLZ
27.2631,1970,4,BLZ
26.364,1970,5,BLZ
27.3079,1970,6,BLZ
26.0371,1970,7,BLZ
26.5783,1970,8,BLZ
26.2419,1970,9,BLZ
25.415,1970,10,BLZ
21.5341,1970,11,BLZ
22.5248,1970,12,BLZ
22.5394,1971,1,BLZ
23.2544,1971,2,BLZ
23.7894,1971,3,BLZ
24.5704,1971,4,BLZ
