tas,"	Year", Month, Country, ISO3, ISO2
27.0499,1992,8,AIA,,
26.85,1992,9,AIA,,
27,1992,10,AIA,,
25.875,1992,11,AIA,,
25.0749,1992,12,AIA,,
24.875,1993,1,AIA,,
24.525,1993,2,AIA,,
25.1,1993,3,AIA,,
25.85,1993,4,AIA,,
26.475,1993,5,AIA,,
27.2,1993,6,AIA,,
26.7999,1993,7,AIA,,
27.45,1993,8,AIA,,
26.975,1993,9,AIA,,
27.125,1993,10,AIA,,
26.6,1993,11,AIA,,
25.525,1993,12,AIA,,
24.5,1994,1,AIA,,
24.6,1994,2,AIA,,
24.875,1994,3,AIA,,
25.625,1994,4,AIA,,
26.6749,1994,5,AIA,,
26.7,1994,6,AIA,,
26.95,1994,7,AIA,,
27.2999,1994,8,AIA,,
26.925,1994,9,AIA,,
26.7999,1994,10,AIA,,
26.45,1994,11,AIA,,
25.35,1994,12,AIA,,
24.425,1995,1,AIA,,
24.75,1995,2,AIA,,
24.5,1995,3,AIA,,
25.625,1995,4,AIA,,
26.4249,1995,5,AIA,,
26.725,1995,6,AIA,,
27.15,1995,7,AIA,,
27.475,1995,8,AIA,,
27.0499,1995,9,AIA,,
27.0499,1995,10,AIA,,
26.65,1995,11,AIA,,
25.4,1995,12,AIA,,
24.775,1996,1,AIA,,
24.525,1996,2,AIA,,
24.9749,1996,3,AIA,,
25.525,1996,4,AIA,,
25.775,1996,5,AIA,,
26.225,1996,6,AIA,,
26.725,1996,7,AIA,,
27,1996,8,AIA,,
26.775,1996,9,AIA,,
26.925,1996,10,AIA,,
25.95,1996,11,AIA,,
24.375,1996,12,AIA,,
23.9249,1997,1,AIA,,
24.5,1997,2,AIA,,
24.1749,1997,3,AIA,,
24.5999,1997,4,AIA,,
26.125,1997,5,AIA,,
26.975,1997,6,AIA,,
26.9249,1997,7,AIA,,
27.2,1997,8,AIA,,
27.2,1997,9,AIA,,
26.7,1997,10,AIA,,
26.5749,1997,11,AIA,,
25.7,1997,12,AIA,,
25.2,1998,1,AIA,,
25.025,1998,2,AIA,,
25.475,1998,3,AIA,,
25.625,1998,4,AIA,,
26.35,1998,5,AIA,,
26.75,1998,6,AIA,,
27.125,1998,7,AIA,,
27.775,1998,8,AIA,,
27.5749,1998,9,AIA,,
26.975,1998,10,AIA,,
26.5499,1998,11,AIA,,
25.6749,1998,12,AIA,,
24.475,1999,1,AIA,,
23.25,1999,2,AIA,,
24.625,1999,3,AIA,,
24.975,1999,4,AIA,,
26.325,1999,5,AIA,,
26.575,1999,6,AIA,,
26.9,1999,7,AIA,,
27.275,1999,8,AIA,,
27.2999,1999,9,AIA,,
26.775,1999,10,AIA,,
26.0749,1999,11,AIA,,
24.7999,1999,12,AIA,,
24.0999,2000,1,AIA,,
24.15,2000,2,AIA,,
23.925,2000,3,AIA,,
25.0999,2000,4,AIA,,
25.725,2000,5,AIA,,
26.45,2000,6,AIA,,
26.95,2000,7,AIA,,
27,2000,8,AIA,,
26.7999,2000,9,AIA,,
26.65,2000,10,AIA,,
25.975,2000,11,AIA,,
25.1749,2000,12,AIA,,
24.5,2001,1,AIA,,
24.225,2001,2,AIA,,
25.025,2001,3,AIA,,
25.375,2001,4,AIA,,
26.725,2001,5,AIA,,
26.875,2001,6,AIA,,
27.05,2001,7,AIA,,
27.2999,2001,8,AIA,,
27.2999,2001,9,AIA,,
26.75,2001,10,AIA,,
25.975,2001,11,AIA,,
25.5,2001,12,AIA,,
25.025,2002,1,AIA,,
24.225,2002,2,AIA,,
25.125,2002,3,AIA,,
25.0749,2002,4,AIA,,
25.75,2002,5,AIA,,
