tas,"	Year", Month, Country
33.5357,1939,6,KWT
35.1855,1939,7,KWT
34.5858,1939,8,KWT
32.0709,1939,9,KWT
27.7737,1939,10,KWT
20.474,1939,11,KWT
14.965,1939,12,KWT
13.5319,1940,1,KWT
16.3513,1940,2,KWT
17.2811,1940,3,KWT
25.2396,1940,4,KWT
30.4587,1940,5,KWT
33.8344,1940,6,KWT
35.1324,1940,7,KWT
35.7164,1940,8,KWT
32.782,1940,9,KWT
28.1469,1940,10,KWT
20.1785,1940,11,KWT
15.0621,1940,12,KWT
13.2273,1941,1,KWT
16.2512,1941,2,KWT
19.6076,1941,3,KWT
23.7455,1941,4,KWT
31.3605,1941,5,KWT
35.2974,1941,6,KWT
35.7903,1941,7,KWT
34.6501,1941,8,KWT
31.6914,1941,9,KWT
25.5495,1941,10,KWT
20.0854,1941,11,KWT
11.9278,1941,12,KWT
11.3126,1942,1,KWT
14.9246,1942,2,KWT
19.4254,1942,3,KWT
23.3449,1942,4,KWT
31.5794,1942,5,KWT
34.7706,1942,6,KWT
35.7772,1942,7,KWT
35.708,1942,8,KWT
32.0595,1942,9,KWT
27.193,1942,10,KWT
20.8483,1942,11,KWT
13.7973,1942,12,KWT
12.7114,1943,1,KWT
13.546,1943,2,KWT
16.5384,1943,3,KWT
23.7308,1943,4,KWT
29.804,1943,5,KWT
32.2849,1943,6,KWT
35.2572,1943,7,KWT
35.7408,1943,8,KWT
31.8445,1943,9,KWT
27.145,1943,10,KWT
20.5294,1943,11,KWT
15.7249,1943,12,KWT
13.836,1944,1,KWT
15.6757,1944,2,KWT
21.6007,1944,3,KWT
24.0183,1944,4,KWT
29.7777,1944,5,KWT
34.3284,1944,6,KWT
35.3962,1944,7,KWT
33.9804,1944,8,KWT
32.0111,1944,9,KWT
26.6612,1944,10,KWT
20.3605,1944,11,KWT
13.2767,1944,12,KWT
12.4157,1945,1,KWT
13.7481,1945,2,KWT
17.6728,1945,3,KWT
24.519,1945,4,KWT
30.2944,1945,5,KWT
34.2159,1945,6,KWT
35.5246,1945,7,KWT
35.2196,1945,8,KWT
32.2318,1945,9,KWT
26.0937,1945,10,KWT
20.3978,1945,11,KWT
14.4165,1945,12,KWT
12.4157,1946,1,KWT
14.6248,1946,2,KWT
18.5482,1946,3,KWT
24.6525,1946,4,KWT
30.4122,1946,5,KWT
33.7206,1946,6,KWT
34.9749,1946,7,KWT
35.3948,1946,8,KWT
32.9552,1946,9,KWT
26.4241,1946,10,KWT
20.6334,1946,11,KWT
15.4757,1946,12,KWT
14.5483,1947,1,KWT
15.3778,1947,2,KWT
20.9741,1947,3,KWT
25.6546,1947,4,KWT
30.7452,1947,5,KWT
35.1149,1947,6,KWT
36.6152,1947,7,KWT
35.3664,1947,8,KWT
31.8363,1947,9,KWT
27.2209,1947,10,KWT
20.8933,1947,11,KWT
15.1753,1947,12,KWT
13.6229,1948,1,KWT
15.4194,1948,2,KWT
17.3936,1948,3,KWT
23.2486,1948,4,KWT
29.9766,1948,5,KWT
34.0022,1948,6,KWT
36.1478,1948,7,KWT
36.0186,1948,8,KWT
31.8792,1948,9,KWT
25.1295,1948,10,KWT
18.6356,1948,11,KWT
13.8138,1948,12,KWT
10.7682,1949,1,KWT
